PM2.5,PM10,NO2,CO,timestamp
20.195882814132627,22.605944017339873,27.146513456642523,784.9296014764981,2024-01-01 00:00:00
17.9979672638942,24.231545063924088,26.943560137042475,851.1463233213674,2024-01-01 01:00:00
18.223789073389618,25.058728241916516,24.29826450248407,948.3913021668459,2024-01-01 02:00:00
17.511468458948023,25.2752039064294,25.906368573699133,1046.9295692123226,2024-01-01 03:00:00
17.085404246908016,26.809115486086206,23.006275219605968,1072.0353208563033,2024-01-01 04:00:00
14.75748183048403,25.469701679009017,22.28229689616311,1078.666329272961,2024-01-01 05:00:00
12.907696684626815,24.65028197618292,23.17457534619723,1161.42205471432,2024-01-01 06:00:00
13.48846286363667,25.05190166850139,22.19126359370015,1447.0082803934747,2024-01-01 07:00:00
14.351690118857446,24.385170960915943,23.40880000344434,1599.3322895647862,2024-01-01 08:00:00
13.687435429331552,25.767238159658653,24.348607183296078,1603.1370437358778,2024-01-01 09:00:00
13.20942666433238,24.697500405144336,24.03789436248894,1505.901902625631,2024-01-01 10:00:00
14.387551664899755,25.37599471973777,25.09549357093656,1365.7925744225279,2024-01-01 11:00:00
15.24655988567007,25.399647601174404,24.587310549026334,1330.6981844397344,2024-01-01 12:00:00
15.182239841280454,25.878895259982258,24.838594400286514,1328.6779911405222,2024-01-01 13:00:00
15.964503280689797,25.13059636878527,26.080075746553618,1325.155454118732,2024-01-01 14:00:00
14.720197662031838,24.824985564404997,26.631782626375845,1503.4930114086303,2024-01-01 15:00:00
14.59451609368574,25.254685969962228,26.82377464996832,1372.5335606464073,2024-01-01 16:00:00
16.434067443576815,25.846343475195276,24.499488928478186,1686.860483267894,2024-01-01 17:00:00
16.208674345606433,25.87179129907019,25.11596773477932,1795.4951541386372,2024-01-01 18:00:00
16.087613791791632,28.502264721647244,23.39842908081953,1876.7505385482395,2024-01-01 19:00:00
17.990785912962927,26.12874273267831,21.529311664492035,1706.2974550720191,2024-01-01 20:00:00
15.888854185600083,25.839758804114307,21.65005632071129,1439.0244427605985,2024-01-01 21:00:00
16.438017272712038,23.340486653490892,20.700177309946994,1210.1720300581892,2024-01-01 22:00:00
17.59540305895117,24.540435733489282,22.181164664948962,1158.0443365701178,2024-01-01 23:00:00
16.594929850453823,23.117595810879006,23.281527473744354,1060.0093234461776,2024-01-02 00:00:00
16.980386215758536,23.40690466409034,20.446568207319864,993.1183365459176,2024-01-02 01:00:00
15.568074461112712,23.471625410207373,19.93826943652066,909.8848294954338,2024-01-02 02:00:00
14.852586394438095,24.524552515186596,18.732879785839906,965.6141686248831,2024-01-02 03:00:00
15.32744727563236,23.973340519435563,19.18978941356682,1082.1670634593556,2024-01-02 04:00:00
16.07273724638089,23.57171728894766,21.048288734984993,1081.5292326489007,2024-01-02 05:00:00
16.893476912682267,26.423501159538734,21.370068014473958,1137.3486007651293,2024-01-02 06:00:00
17.984992779048902,26.819009358659635,21.526328304372818,1473.8311813218577,2024-01-02 07:00:00
17.201496536279876,25.745525802827697,24.463410554257894,1538.5373910821334,2024-01-02 08:00:00
17.807888512578334,25.438933665357602,21.02966551574547,1737.419987321527,2024-01-02 09:00:00
16.789102010995666,28.13981694006325,23.761361145552236,1556.2193915817156,2024-01-02 10:00:00
17.213411239752865,27.07825648757051,23.006763740005212,1479.5414957442667,2024-01-02 11:00:00
16.902366450787802,25.686504313222255,23.431225294782234,1451.6929201599753,2024-01-02 12:00:00
